,AFA,ALA
Anisian,247.2,242
Ladinian,242,237
Carnian,237,227
Norian,227,208.5
Rhaetian,208.5,201.3
Hettangian,201.3,199.3
Sinemurian,199.3,190.8
Toarcian,182.7,174.1
Aalenian,174.1,170.3
Bathonian,168.3,166.1
Callovian,166.1,163.5
Oxfordian,163.5,157.3
Kimmeridgian,157.3,152.1
Tithonian,152.1,145
Valanginian,139.8,132.6
Hauterivian,132.6,129.4
Barremian,129.4,125
Aptian,125,113
Albian,113,100.5
Cenomanian,100.5,93.9
Coniacian,89.8,86.3
Campanian,83.6,72.1
Maastrichtian,72.1,66
Danian,66,61.6
Thanetian,59.2,56
Lutetian,47.8,41.2
Bartonian,41.2,37.8
Priabonian,37.8,33.9
Chattian,27.82,23.03
Aquitanian,23.03,20.44
Burdigalian,20.44,15.97
Langhian,15.97,13.82
Serravallian,13.82,11.63
Tortonian,11.63,7.246
Messinian,7.246,5.3
Zanclean,5.3,3.6
Piacenzian,3.6,2.58
Greenlandian,0.0117,0.0082
Actual ,0,0
