taxa,AFA,ALA
Alca_torda,39,39
Alligator,39,39
Allosaurus_,13,14
Anarosaurus,1,1
Anas_aucklandica,39,39
Anas_discors,39,39
Anas_erythroincha,39,39
Anhinga_anhinga,39,39
Anser_fabalis,39,39
Anseranas_semipalmata,39,39
Antetonitrus,4,4
Aptenodytes______,39,39
Apteryx_australis,39,39
Apteryx_owenii_,39,39
Aramus_guarauna,39,39
Asfaltovenator,8,9
Asilisaurus,1,2
Atlantisia_rogersi,39,39
Australovenator,20,20
Avimaia,18,18
Baryonyx,17,17
Basilosaurus,27,28
Caiman_yacare,39,39
Callophoca_obscura,36,36
Caloenas_nicobarica,39,39
Chapsosaurus_,24,24
Champsosaurus,23,23
Chauna_chavaria,39,39
Cinclus_cinclus,39,39
Columba_,39,39
Condorraptor,8,9
Confuciusornis_sanctus,16,18
Cricosaurus,14,14
Cryptoclidus,11,11
Crypturellus_tataupa,39,39
Cygnus_olor,39,39
Deinonychus,17,20
Dromaius_,39,39
Dyrosaurid,23,24
Dysalotosaurus,13,13
Eudromia_elegans,39,39
Eustreptospondylus,11,11
Fratercula_arctica,39,39
Fregata_aquila,39,39
Fruitadens,14,14
Gavia_immer,39,39
Glareola_pratincola,39,39
Gobiraptor_,20,23
Gorgosaurus,22,22
Goura_cristata,39,39
Halszkararaptor_,22,22
Hesperornis,21,22
Iberosuchus,24,25
Ichtyosaur_sp,6,8
Ichtyosaurus_,6,8
Indohyus,26,27
Iteravis,18,18
large_eocene_stem_penguin,28,28
Lepidus,3,4
Leptophoca_proxima,32,34
Maiacetus,26,27
Masiakasaurus,23,23
Megalosaurus,11,11
Meleagris,39,39
Metryorhynchus,11,12
Mirusavis,15,17
Mussaurus,4,4
Nanophoca_vitulinoides,32,33
Nestor_notabilis,39,39
Neusticosaurus,2,2
noasaurid_kem_kem,20,20
Nothosaurus_102,2,2
Nothosaurus_150,2,2
Nothosaurus_568,2,2
Nothosaurus_giganteus,2,2
Nothosaurus_mirabilis,2,2
Nothosaurus_mirabilis_1,2,2
Otaria_byronia,39,39
Oviraptor_,22,22
Oviraptor_caenagnathid,21,22
Oxyura_jamaicensis,39,39
Palaeospheniscus,30,32
Paraplacodus,2,2
Pelagodroma_marina,39,39
Pelecanoides_urinatryx,39,39
Phaeton_aethereus,39,39
Phalacrocorax_carbo,39,39
Phalacrocorax_harrisi,39,39
Phocanella_pumila,36,36
Phoenicopterus_roseus,39,39
Pistosaurus,2,2
Placodontia_indet_1,1,1
Placondontia_indet,2,2
Plateosaurus,4,4
Plesiosaurus,7,7
Podica_senegalensis,39,39
Poposaurus,4,4
Porphyrio_Poliocephalus,39,39
Porphyrio_hochstetteri,39,39
Porzana_carolina,39,39
Protochampsidae,3,3
Psephoderma,5,5
Psophia_crepitans_napensis,39,39
Pterosaur_Tremp,23,23
Rahonavis,23,23
Ramphorynchus,14,14
