CLADE NAME,NODE NUMBER,MINIMUM AGE
Amniota,206,312.3
Crown Mammalia,207,162.5
Theria,208,124.6
Crown Marsupialia,209,68
Didelphimorphae,210,63.2
Placentalia,211,95.3
,212,
Afrotheria,213,64
Paenungulata,214,41.5
10,215,NA
11,216,NA
12,217,NA
13,218,NA
14,219,NA
15,220,NA
16,221,NA
Boreoeutheria,222,73.1
Rodentia,223,60.5
19,224,NA
20,225,NA
Laurasiatheria,226,66.3
Eulipothypla,227,65.4
23,228,NA
24,229,NA
25,230,NA
26,231,NA
Carnivora,232,33.9
28,233,NA
29,234,NA
30,235,NA
31,236,NA
32,237,NA
33,238,NA
34,239,NA
35,240,NA
36,241,NA
37,242,NA
38,243,NA
39,244,NA
40,245,NA
41,246,NA
42,247,NA
Perissodactyla,248,32.6
44,249,NA
45,250,NA
Artiodactyla,251,50.3
47,252,NA
48,253,NA
Whippomorpha,254,32.7
50,255,NA
51,256,NA
52,257,NA
53,258,NA
54,259,NA
55,260,NA
56,261,NA
57,262,NA
Ruminantia,263,29.1
59,264,NA
60,265,NA
61,266,NA
62,267,NA
63,268,NA
64,269,NA
65,270,NA
66,271,NA
67,272,NA
68,273,NA
69,274,NA
70,275,NA
71,276,NA
72,277,NA
73,278,NA
74,279,NA
75,280,NA
76,281,NA
77,282,NA
78,283,NA
79,284,NA
80,285,NA
81,286,NA
82,287,NA
83,288,NA
84,289,NA
85,290,NA
86,291,NA
87,292,NA
88,293,NA
89,294,NA
90,295,NA
91,296,NA
Lepidosauromorpha - Archosauromorpha,297,259.7
Crown Lepidosauria,298,247.6
Crown Squamata,299,176.9
95,300,NA
Pseudosuchia - Avemetatarsalia,301,235
97,302,NA
98,303,NA
99,304,NA
100,305,NA
101,306,NA
102,307,NA
103,308,NA
104,309,NA
105,310,NA
106,311,NA
107,312,NA
108,313,NA
109,314,NA
110,315,NA
111,316,NA
112,317,NA
113,318,NA
114,319,NA
115,320,NA
116,321,NA
117,322,NA
118,323,NA
119,324,NA
120,325,NA
121,326,NA
122,327,NA
123,328,NA
124,329,NA
125,330,NA
126,331,NA
127,332,NA
128,333,NA
129,334,NA
130,335,NA
131,336,NA
132,337,NA
133,338,NA
134,339,NA
135,340,NA
136,341,NA
137,342,NA
138,343,NA
139,344,NA
140,345,NA
141,346,NA
142,347,NA
143,348,NA
144,349,NA
145,350,NA
146,351,NA
Crown Aves,352,66
Palaeognathae,353,35
149,354,NA
Tinamiformes + Casuariiformes,355,24
151,356,NA
152,357,NA
153,358,NA
154,359,NA
155,360,NA
156,361,NA
157,362,NA
Anseriformes,363,28
159,364,NA
Anatidae,365,9.5
161,366,NA
162,367,NA
163,368,NA
164,369,NA
Neoaves,370,63.5
Columbiformes,371,9.5
167,372,NA
168,373,NA
169,374,NA
Gruiformes,375,29
171,376,NA
172,377,NA
173,378,NA
174,379,NA
175,380,NA
176,381,NA
177,382,NA
178,383,NA
179,384,NA
Psittacopasserae,385,52
181,386,NA
Passeriformes,387,42
183,388,NA
184,389,NA
Aequorlithornithes,390,61.5
Mirandornithes + Charadriiformes,391,45
187,392,NA
Charadriiformes,393,33
189,394,NA
190,395,NA
Ardeae,396,61
192,397,NA
193,398,NA
194,399,NA
Stem-Fregatidae (Suliformes),400,51.58
196,401,NA
197,402,NA
198,403,NA
199,404,NA
200,405,NA
Total group Sphenisciformes,406,60.5
202,407,NA
203,408,NA
204,409,NA
