CLADE NAME,NODE NUMBER,MINIMUM AGE
Amniota,175,312.3
2,176,NA
3,177,NA
4,178,NA
5,179,NA
6,180,NA
Lepidosauromorpha - Archosauromorpha,181,259.7
Crown Squamata,182,176.9
9,183,NA
10,184,NA
11,185,NA
Pseudosuchia - Avemetatarsalia,186,235
16,187,NA
17,188,NA
18,189,NA
19,190,NA
20,191,NA
21,192,NA
22,193,NA
23,194,NA
24,195,NA
25,196,NA
26,197,NA
27,198,NA
28,199,NA
29,200,NA
Crown Aves,201,66
Palaeognathae,202,36
32,203,NA
Tinamiformes + Casuariiformes,204,24
34,205,NA
Anseriformes,206,28
35,207,NA
Anatidae,208,9.5
37,209,NA
38,210,NA
39,211,NA
40,212,NA
41,213,NA
Neoaves,214,63.5
Otidimorphae,215,53
Columbiformes,216,9.5
45,217,NA
Gruiformes,218,29
47,219,NA
Ralloidea,220,16.5
49,221,NA
50,222,NA
51,223,NA
52,224,NA
53,225,NA
Telluraves,226,59
55,227,NA
Cavitaves,228,53
Psittacopasserae,229,52
58,230,NA
Passeriformes,231,42
60,232,NA
61,233,NA
Aequorlithornithes,234,61.5
Mirandornithes + Charadriiformes,235,45
64,236,NA
Charadriiformes,237,33
66,238,NA
67,239,NA
68,240,NA
Ardeae,241,61
69,242,NA
70,243,NA
71,244,NA
72,245,NA
73,246,NA
Total group Sphenisciformes,247,60.5
74,248,NA
75,249,NA
76,250,NA
77,251,NA
78,252,NA
79,253,NA
80,254,NA
Crown Mammalia,255,162.5
95,256,NA
94,257,NA
Theria,258,124.6
Crown Marsupialia,259,68
Didelphimorphae,260,63.2
Australidelphia,261,54.1
89,262,NA
Diprotodontia,263,41.1
Placentalia,264,95.3
83,265,NA
Afrotheria,266,64
Afroinsectiphilia,267,62.4
268,268,NA
269,269,NA
Paenungulata,270,41.5
Sirenia,271,7
272,272,NA
273,273,NA
Proboscidea (crown),274,4.8
275,275,NA
276,276,NA
277,277,NA
Boreoeutheria,278,73.1
Euarchontoglires,279,67.8
Strepshirrini,280,42.2
281,281,NA
Glires,282,64.4
Rodentia,283,60.5
284,284,NA
285,285,NA
286,286,NA
287,287,NA
288,288,NA
289,289,NA
290,290,NA
Laurasiatheria,291,66.3
Eulipothypla,292,65.4
293,293,NA
294,294,NA
295,295,NA
296,296,NA
297,297,NA
298,298,NA
299,299,NA
300,300,NA
301,301,NA
302,302,NA
303,303,NA
Carnivora,304,33.9
Feliformes,305,22.3
306,306,NA
Caniformes,307,28.6
308,308,NA
309,309,NA
310,310,NA
311,311,NA
312,312,NA
313,313,NA
314,314,NA
315,315,NA
316,316,NA
317,317,NA
318,318,NA
319,319,NA
320,320,NA
321,321,NA
Perissodactyla,322,32.6
323,323,NA
324,324,NA
325,325,NA
326,326,NA
Artiodactyla,327,50.3
328,328,NA
329,329,NA
Whippomorpha,330,32.7
331,331,NA
332,332,NA
333,333,NA
334,334,NA
Cetacea (crown) ,335,15.2
336,336,NA
337,337,NA
338,338,NA
Ruminantia,339,29.1
340,340,NA
341,341,NA
342,342,NA
343,343,NA
344,344,NA
345,345,NA
346,346,NA
347,347,NA
